Strategy	mult	num in portfolio	Insrument	Time	Price	Amount	Type	Source	Comment	
ZZ_NQ_1	2	2	NQ	6/5/2024 12:06	18966.25	1	Open	User	buy long	
ZZ_NQ_1	2	2	NQ	6/5/2024 15:31	19032.75	-1	Close	User		
ZZ_NQ_2	2	2	NQ	6/5/2024 12:18	18962.25	1	Open	User	buy long	
ZZ_NQ_2	2	2	NQ	6/5/2024 15:31	19032.75	-1	Close	User		
ZZ_NQ_3	2	2	NQ	6/5/2024 12:03	18957.25	1	Open	User	buy long	
ZZ_NQ_3	2	2	NQ	6/5/2024 15:31	19032.75	-1	Close	User		
ZZ_NQ_4	2	2	NQ	6/5/2024 11:06	18938.75	1	Open	User	buy long	
ZZ_NQ_4	2	2	NQ	6/5/2024 15:31	19032.75	-1	Close	User		
ZZ_NQ_5	2	2	NQ	6/5/2024 12:03	18957.25	1	Open	User	buy long	
ZZ_NQ_5	2	2	NQ	6/5/2024 15:31	19032.75	-1	Close	User		
Fair4_NQ(YM)_T	2	2	NQ	6/5/2024 5:14	18772	1	Open	User	Open up	
Fair4_NQ(YM)_T	2	2	NQ	6/6/2024 5:37	19088.5	-1	Close	User	Close long	1397
Fair3_NQ(YM)_T	2	2	NQ	6/5/2024 5:07	18767.25	1	Open	User	Open up	
Fair3_NQ(YM)_T	2	2	NQ	6/5/2024 23:20	19105	-1	Close	User	Close long	1028
Fair2_NQ(YM)_T	2	2	NQ	6/5/2024 5:00	18756.25	1	Open	User	Open up	
Fair2_NQ(YM)_T	2	2	NQ	6/6/2024 5:50	19073.5	-1	Close	User	Close long	1424
FLP2_NQ(YM)_T	2	2	NQ	6/5/2024 5:07	18767.25	1	Open	User	Open up	
FLP2_NQ(YM)_T	2	2	NQ	6/6/2024 5:50	19073.5	-1	Close	User	Close long	
FLP5_NQ(YM)_T	2	4	NQ	6/5/2024 8:34	18782.5	1	Open	User	Open up	
FLP5_NQ(YM)_T	2	4	NQ	6/5/2024 9:32	18825.5	-1	Close	User	StopLoss: Close short	58
"FLP1_NQ(ZB,YM)"	2	2	NQ	6/5/2024 9:24	18840.75	1	Open	User	Open up	
"FLP1_NQ(ZB,YM)"	2	2	NQ	6/6/2024 5:50	19073.5	-1	Close	User	Close long	
"FLP2_NQ(ZB,YM)"	2	2	NQ	6/5/2024 9:54	18856.5	1	Open	User	Open up	
"FLP2_NQ(ZB,YM)"	2	2	NQ	6/6/2024 5:50	19073.5	-1	Close	User	Close long	
"FLP2_NQ(ZB,YM)"	2	2	NQ	6/5/2024 5:09	18769.25	1	Open	User	Open up	
"FLP2_NQ(ZB,YM)"	2	2	NQ	6/6/2024 5:50	19073.5	-1	Close	User	Close long	
LV_FLP1_PA(SI)_R	100	1	PA	6/5/2024 10:03	935.5	-1	Open	User	Open down	
LV_FLP1_PA(SI)_R	100	1	PA	6/5/2024 10:05	929	1	Close	User	Close short	
LV_FLP1_PA(SI)_R	100	1	PA	6/5/2024 10:19	936.5	-1	Open	User	Open down	
LV_FLP1_PA(SI)_R	100	1	PA	6/5/2024 10:45	937	1	Close	User	Close short	
LV_FLP1_PA(SI)_R	100	1	PA	6/5/2024 10:51	940	-1	Open	User	Open down	
LV_FLP1_PA(SI)_R	100	1	PA	6/5/2024 11:16	940.5	1	Close	User	Close short	
LV_FLP1_PA(SI)_R	100	1	PA	6/5/2024 21:12	944	1	Open	User	Open up	
LV_FLP1_PA(SI)_R	100	1	PA	6/5/2024 21:16	949	-1	Close	User	TakeProfit: Close long	
LV_FLP1_PA(SI)_R	100	1	PA	6/5/2024 21:29	950	1	Open	User	Open up	
LV_FLP1_PA(SI)_R	100	1	PA	6/6/2024 4:28	946	-1	Close	User	Close long	
LV_FLP1_PA(SI)_R	100	1	PA	6/6/2024 5:01	939.5	1	Open	User	Open up	16
LV_FLP1_PA(SI)_R	100	1	PA	6/6/2024 6:59	944	-1	Close	User	Close long	
LV_FLP2_PA(SI)_R	100	1	PA	6/5/2024 7:43	929	1	Close	User	Close short	
